"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10906727, SEN S/N: 10906727)","Temp, °C (LGR S/N: 10906727, SEN S/N: 10906727)","Coupler Detached (LGR S/N: 10906727)","Coupler Attached (LGR S/N: 10906727)","Stopped (LGR S/N: 10906727)","End Of File (LGR S/N: 10906727)"
1,07/23/16 01:00:00 PM,102.736,29.252,Logged,,,
2,07/23/16 01:15:00 PM,102.739,29.053,,,,
3,07/23/16 01:30:00 PM,102.742,29.152,,,,
4,07/23/16 01:45:00 PM,102.726,29.252,,,,
5,07/23/16 02:00:00 PM,102.709,29.352,,,,
6,07/23/16 02:15:00 PM,102.709,29.352,,,,
7,07/23/16 02:30:00 PM,102.678,29.352,,,,
8,07/23/16 02:45:00 PM,102.682,29.452,,,,
9,07/23/16 03:00:00 PM,102.692,29.452,,,,
10,07/23/16 03:15:00 PM,102.682,29.452,,,,
11,07/23/16 03:30:00 PM,102.672,29.452,,,,
12,07/23/16 03:45:00 PM,102.672,29.452,,,,
13,07/23/16 04:00:00 PM,102.661,29.452,,,,
14,07/23/16 04:15:00 PM,102.672,29.452,,,,
15,07/23/16 04:30:00 PM,102.661,29.452,,,,
16,07/23/16 04:45:00 PM,102.651,29.452,,,,
17,07/23/16 05:00:00 PM,102.658,29.352,,,,
18,07/23/16 05:15:00 PM,102.647,29.352,,,,
19,07/23/16 05:30:00 PM,102.658,29.352,,,,
20,07/23/16 05:45:00 PM,102.647,29.352,,,,
21,07/23/16 06:00:00 PM,102.658,29.352,,,,
22,07/23/16 06:15:00 PM,102.668,29.352,,,,
23,07/23/16 06:30:00 PM,102.674,29.252,,,,
24,07/23/16 06:45:00 PM,102.674,29.252,,,,
25,07/23/16 07:00:00 PM,102.660,29.152,,,,
26,07/23/16 07:15:00 PM,102.656,29.053,,,,
27,07/23/16 07:30:00 PM,102.714,28.953,,,,
28,07/23/16 07:45:00 PM,102.745,28.953,,,,
29,07/23/16 08:00:00 PM,102.752,28.853,,,,
30,07/23/16 08:15:00 PM,102.789,28.754,,,,
31,07/23/16 08:30:00 PM,102.806,28.655,,,,
32,07/23/16 08:45:00 PM,102.833,28.555,,,,
33,07/23/16 09:00:00 PM,102.870,28.456,,,,
34,07/23/16 09:15:00 PM,102.887,28.357,,,,
35,07/23/16 09:30:00 PM,102.903,28.258,,,,
36,07/23/16 09:45:00 PM,102.903,28.258,,,,
37,07/23/16 10:00:00 PM,102.879,28.159,,,,
38,07/23/16 10:15:00 PM,102.858,28.159,,,,
39,07/23/16 10:30:00 PM,102.865,28.060,,,,
40,07/23/16 10:45:00 PM,102.875,28.060,,,,
41,07/23/16 11:00:00 PM,102.885,28.060,,,,
42,07/23/16 11:15:00 PM,102.902,27.961,,,,
43,07/23/16 11:30:00 PM,102.912,27.961,,,,
44,07/23/16 11:45:00 PM,102.902,27.961,,,,
45,07/24/16 12:00:00 AM,102.909,27.862,,,,
46,07/24/16 12:15:00 AM,102.909,27.862,,,,
47,07/24/16 12:30:00 AM,102.884,27.764,,,,
48,07/24/16 12:45:00 AM,102.874,27.764,,,,
49,07/24/16 01:00:00 AM,102.884,27.764,,,,
50,07/24/16 01:15:00 AM,102.860,27.665,,,,
51,07/24/16 01:30:00 AM,102.860,27.665,,,,
52,07/24/16 01:45:00 AM,102.850,27.665,,,,
53,07/24/16 02:00:00 AM,102.836,27.567,,,,
54,07/24/16 02:15:00 AM,102.815,27.567,,,,
55,07/24/16 02:30:00 AM,102.822,27.468,,,,
56,07/24/16 02:45:00 AM,102.822,27.468,,,,
57,07/24/16 03:00:00 AM,102.811,27.468,,,,
58,07/24/16 03:15:00 AM,102.766,27.370,,,,
59,07/24/16 03:30:00 AM,102.766,27.370,,,,
60,07/24/16 03:45:00 AM,102.783,27.272,,,,
61,07/24/16 04:00:00 AM,102.783,27.272,,,,
62,07/24/16 04:15:00 AM,102.810,27.173,,,,
63,07/24/16 04:30:00 AM,102.800,27.173,,,,
64,07/24/16 04:45:00 AM,102.790,27.173,,,,
65,07/24/16 05:00:00 AM,102.796,27.075,,,,
66,07/24/16 05:15:00 AM,102.817,27.075,,,,
67,07/24/16 05:30:00 AM,102.813,26.977,,,,
68,07/24/16 05:45:00 AM,102.793,26.977,,,,
69,07/24/16 06:00:00 AM,102.813,26.977,,,,
70,07/24/16 06:15:00 AM,102.799,26.879,,,,
71,07/24/16 06:30:00 AM,102.820,26.879,,,,
72,07/24/16 06:45:00 AM,102.820,26.879,,,,
73,07/24/16 07:00:00 AM,102.820,26.879,,,,
74,07/24/16 07:15:00 AM,102.826,26.781,,,,
75,07/24/16 07:30:00 AM,102.847,26.781,,,,
76,07/24/16 07:45:00 AM,102.847,26.781,,,,
77,07/24/16 08:00:00 AM,102.871,26.879,,,,
78,07/24/16 08:15:00 AM,102.871,26.879,,,,
79,07/24/16 08:30:00 AM,102.891,26.879,,,,
80,07/24/16 08:45:00 AM,102.895,26.977,,,,
81,07/24/16 09:00:00 AM,102.895,26.977,,,,
82,07/24/16 09:15:00 AM,102.920,27.075,,,,
83,07/24/16 09:30:00 AM,102.923,27.173,,,,
84,07/24/16 09:45:00 AM,102.937,27.272,,,,
