"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10906727, SEN S/N: 10906727)","Temp, °C (LGR S/N: 10906727, SEN S/N: 10906727)","Coupler Detached (LGR S/N: 10906727)","Coupler Attached (LGR S/N: 10906727)","Stopped (LGR S/N: 10906727)","End Of File (LGR S/N: 10906727)"
1,07/11/16 06:00:00 AM,100.547,22.333,,,,
2,07/11/16 06:01:28 AM,,,Logged,,,
3,07/11/16 06:15:00 AM,100.567,22.046,,,,
4,07/11/16 06:30:00 AM,100.584,21.951,,,,
5,07/11/16 06:45:00 AM,100.605,21.951,,,,
6,07/11/16 07:00:00 AM,100.618,22.046,,,,
7,07/11/16 07:15:00 AM,100.683,22.142,,,,
8,07/11/16 07:30:00 AM,100.684,22.717,,,,
9,07/11/16 07:45:00 AM,100.599,22.621,,,,
10,07/11/16 08:00:00 AM,100.115,22.812,,,,
11,07/11/16 08:15:00 AM,100.254,24.641,,,,
12,07/11/16 08:30:00 AM,100.222,23.773,,,,
13,07/11/16 08:45:00 AM,100.223,24.351,,,,
14,07/11/16 09:00:00 AM,100.231,25.125,,,,
15,07/11/16 09:15:00 AM,100.219,25.902,,,,
16,07/11/16 09:30:00 AM,100.234,26.585,,,,
17,07/11/16 09:45:00 AM,100.259,30.255,,,,
18,07/11/16 10:00:00 AM,104.135,26.097,,,,
19,07/11/16 10:15:00 AM,104.127,25.610,,,,
20,07/11/16 10:30:00 AM,104.100,25.708,,,,
21,07/11/16 10:45:00 AM,104.103,25.805,,,,
22,07/11/16 11:00:00 AM,104.076,25.902,,,,
23,07/11/16 11:15:00 AM,104.060,26.000,,,,
24,07/11/16 11:30:00 AM,104.032,26.097,,,,
25,07/11/16 11:45:00 AM,103.995,26.195,,,,
26,07/11/16 12:00:00 PM,103.989,26.292,,,,
27,07/11/16 12:15:00 PM,103.982,26.390,,,,
28,07/11/16 12:30:00 PM,103.935,26.488,,,,
29,07/11/16 12:45:00 PM,103.897,26.585,,,,
30,07/11/16 01:00:00 PM,103.880,26.683,,,,
31,07/11/16 01:15:00 PM,103.874,26.781,,,,
32,07/11/16 01:30:00 PM,103.837,26.879,,,,
33,07/11/16 01:45:00 PM,103.837,26.879,,,,
34,07/11/16 02:00:00 PM,103.830,26.977,,,,
35,07/11/16 02:15:00 PM,103.803,27.075,,,,
36,07/11/16 02:30:00 PM,103.779,26.977,,,,
37,07/11/16 02:45:00 PM,103.768,26.977,,,,
38,07/11/16 03:00:00 PM,103.758,26.977,,,,
39,07/11/16 03:15:00 PM,103.738,26.977,,,,
40,07/11/16 03:30:00 PM,103.707,26.977,,,,
41,07/11/16 03:45:00 PM,103.707,26.977,,,,
42,07/11/16 04:00:00 PM,103.748,26.977,,,,
43,07/11/16 04:15:00 PM,103.744,26.879,,,,
44,07/11/16 04:30:00 PM,103.754,26.879,,,,
45,07/11/16 04:45:00 PM,103.909,26.879,,,,
46,07/11/16 05:00:00 PM,103.915,26.781,,,,
47,07/11/16 05:15:00 PM,103.864,26.781,,,,
48,07/11/16 05:30:00 PM,103.843,26.781,,,,
49,07/11/16 05:45:00 PM,103.843,26.781,,,,
50,07/11/16 06:00:00 PM,103.857,26.879,,,,
51,07/11/16 06:15:00 PM,103.878,26.879,,,,
52,07/11/16 06:30:00 PM,103.847,26.879,,,,
53,07/11/16 06:45:00 PM,103.847,26.879,,,,
54,07/11/16 07:00:00 PM,103.888,26.879,,,,
55,07/11/16 07:15:00 PM,103.909,26.879,,,,
56,07/11/16 07:30:00 PM,103.898,26.879,,,,
57,07/11/16 07:45:00 PM,103.909,26.879,,,,
58,07/11/16 08:00:00 PM,103.894,26.781,,,,
59,07/11/16 08:15:00 PM,103.874,26.781,,,,
60,07/11/16 08:30:00 PM,103.880,26.683,,,,
61,07/11/16 08:45:00 PM,103.880,26.683,,,,
62,07/11/16 09:00:00 PM,103.887,26.585,,,,
63,07/11/16 09:15:00 PM,103.883,26.488,,,,
