"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10768627, SEN S/N: 10768627)","Temp, °C (LGR S/N: 10768627, SEN S/N: 10768627)","Coupler Detached (LGR S/N: 10768627)","Coupler Attached (LGR S/N: 10768627)","Stopped (LGR S/N: 10768627)","End Of File (LGR S/N: 10768627)"
1,07/11/16 06:51:23 AM,-0.03,21.88,,,,
2,07/11/16 06:51:51 AM,,,Logged,,,
3,07/11/16 07:06:23 AM,8.49,22.12,,,,
4,07/11/16 07:21:23 AM,8.47,22.38,,,,
5,07/11/16 07:36:23 AM,8.41,22.70,,,,
6,07/11/16 07:51:23 AM,8.29,22.96,,,,
7,07/11/16 08:06:23 AM,8.19,23.38,,,,
8,07/11/16 08:21:23 AM,8.19,23.58,,,,
9,07/11/16 08:36:23 AM,8.19,23.78,,,,
10,07/11/16 08:51:23 AM,8.09,24.34,,,,
11,07/11/16 09:06:23 AM,7.81,25.96,,,,
12,07/11/16 09:21:23 AM,7.79,26.24,,,,
13,07/11/16 09:36:23 AM,7.69,26.76,,,,
14,07/11/16 09:51:23 AM,6.30,26.74,,,,
15,07/11/16 10:06:23 AM,6.62,25.70,,,,
16,07/11/16 10:21:23 AM,6.73,25.70,,,,
17,07/11/16 10:36:23 AM,6.79,25.78,,,,
18,07/11/16 10:51:23 AM,6.86,25.90,,,,
19,07/11/16 11:06:23 AM,6.92,26.00,,,,
20,07/11/16 11:21:23 AM,6.97,26.06,,,,
21,07/11/16 11:36:23 AM,7.05,26.18,,,,
22,07/11/16 11:51:23 AM,7.04,26.28,,,,
23,07/11/16 12:06:23 PM,7.08,26.40,,,,
24,07/11/16 12:21:23 PM,7.12,26.46,,,,
25,07/11/16 12:36:23 PM,7.16,26.56,,,,
26,07/11/16 12:51:23 PM,7.19,26.64,,,,
27,07/11/16 01:06:23 PM,7.23,26.72,,,,
28,07/11/16 01:21:23 PM,7.26,26.84,,,,
29,07/11/16 01:36:23 PM,7.67,26.82,,,,
30,07/11/16 01:51:23 PM,7.29,27.02,,,,
31,07/11/16 02:06:23 PM,7.25,27.04,,,,
32,07/11/16 02:21:23 PM,7.20,27.06,,,,
33,07/11/16 02:36:23 PM,7.14,27.00,,,,
34,07/11/16 02:51:23 PM,7.13,26.96,,,,
35,07/11/16 03:06:23 PM,7.13,26.94,,,,
36,07/11/16 03:21:23 PM,7.12,26.96,,,,
